entry_time,entry_price,trade_type,stop_loss_price,target_price,amount_risked,exit_time,exit_price,exit_reason,pl,dollar_pl,percent_pl,win_or_loss,position_size
2022-09-16 09:35:00-04:00,300.045,Long,299.4358891926827,301.8723324219519599864725024,-377266724.2974014914302587400,2022-09-16 09:40:00-04:00,300.6541108073173199954908342,Other,0.6091108073173199954908341169,-377266724.2974014914302587915,100.0000000000000000000000137,Loss,-619372895.3176529128318622102
2022-09-19 10:10:00-04:00,305.48,Short,306.1359661075411,303.5121016773767178165144287,-3958010.898662582536703324089,2022-09-19 10:15:00-04:00,304.8240338924589059388381429,Other,0.6559661075410940611618571,-3958010.898662582536703324099,100.0000000000000000000000003,Win,-6033864.940826422989822866422
2022-09-21 11:25:00-04:00,306.375,Short,307.4202860669316,303.2391417992051287910726387,-746036088.9399070949573180739,2022-09-21 11:30:00-04:00,305.3297139330683762636908796,Other,1.0452860669316237363091204,-746036088.9399070949573180510,99.99999999999999999999999693,Win,-713714754.7846423587989375062
2022-09-22 11:10:00-04:00,290.32,Long,289.5051514159628,292.7645457521115577037562616,-8684043130.396423931605403453,2022-09-22 11:15:00-04:00,291.1348485840371859012520872,Other,0.8148485840371859012520872056,-8684043130.396423931605403393,99.99999999999999999999999931,Loss,-10657247616.93900737526822263
2022-09-23 11:45:00-04:00,275.165,Short,275.68887384884334,273.5933784534699702817306388,-1228607155.744093718695390540,2022-09-23 11:50:00-04:00,274.6411261511566567605768796,Other,0.5238738488433432394231204,-1228607155.744093718695390553,100.0000000000000000000000011,Win,-2345234751.566098115479817538
2022-09-26 10:45:00-04:00,279.44,Long,278.7449417250336,281.5251748248992475964769255,-82230410885.09463134013568818,2022-09-26 10:50:00-04:00,280.1350582749664158654923085,Other,0.6950582749664158654923085123,-82230410885.09463134013568673,99.99999999999999999999999824,Loss,-118307218037.3190677629610212
2022-09-27 11:40:00-04:00,282.005,Long,281.30223803126484,284.1132859062054944843112025,-824434133268.6031645670409689,2022-09-27 11:45:00-04:00,282.7077619687351648281037342,Other,0.7027619687351648281037341803,-824434133268.6031645670409920,100.0000000000000000000000028,Loss,-1173134247364.615677751972075
2022-09-29 11:40:00-04:00,268.445,Short,268.98249451702605,266.8325164489218354901822750,-2253239352.503005495885166421,2022-09-29 11:45:00-04:00,267.9075054829739451633940916,Other,0.5374945170260548366059084,-2253239352.503005495885166634,100.0000000000000000000000095,Win,-4192115977.238481484017073204
2022-10-06 09:40:00-04:00,241.125,Long,240.43591170069246,243.1922648979226266874320572,-43103471976031.58970011446947,2022-10-06 09:45:00-04:00,241.8140882993075422291440190,Other,0.6890882993075422291440190747,-43103471976031.58970011446480,99.99999999999999999999998917,Loss,-62551449530264.59309445811917
2022-10-10 12:00:00-04:00,222.355,Short,222.89029720346792,220.7491083895962287897418719,-1297065664207.475633332493491,2022-10-10 12:05:00-04:00,221.8197027965320762632472906,Other,0.5352972034679237367527094,-1297065664207.475633332493554,100.0000000000000000000000049,Win,-2423075734011.748575190858995
